"Table","Column","Data Type","Nullable"
"meeting_action_items","created_at","timestamp without time zone","YES"
"meeting_action_items","action_notes","text","YES"
"meeting_minutes","id","integer","NO"
"meeting_minutes","meeting_date","date","NO"
"meeting_minutes","chairperson","character varying","NO"
"meeting_minutes","attendees","text","NO"
"meeting_minutes","apologies","text","YES"
"meeting_minutes","notes_summary","text","NO"
"meeting_minutes","created_at","timestamp without time zone","YES"
"options_line_items_non_pricing","id","integer","NO"
"options_line_items_non_pricing","line_item_id","character varying","YES"
"options_line_items_non_pricing","procurement_option_id","integer","YES"
"options_line_items_non_pricing","weighting_id","integer","YES"
"options_line_items_non_pricing","score","numeric","YES"
"options_line_items_non_pricing","weighted_score_contribution","numeric","YES"
"options_line_items_non_pricing","justification","text","YES"
"options_line_items_pricing","id","integer","NO"
"options_line_items_pricing","line_item_id","character varying","YES"
"options_line_items_pricing","procurement_option_id","integer","YES"
"options_line_items_pricing","cost_component_name","character varying","NO"
"options_line_items_pricing","cost_type_category","character varying","YES"
"options_line_items_pricing","amount","numeric","NO"
"options_line_items_pricing","projected_5yr_total_cost","numeric","YES"
"options_line_items_pricing","uom_id","integer","YES"
"po_log","id","integer","NO"
"po_log","po_number","character varying","NO"
"po_log","date","date","YES"
"po_log","actioned_date","date","YES"
"po_log","gl_code_id","integer","YES"
"po_log","project_id","integer","YES"
"po_log","has_been_budgeted","boolean","YES"
"po_log","description","text","YES"
"po_log","justification_notes","text","YES"
"po_log","approval_notes","text","YES"
"po_log","ai_recommendation_summary","text","YES"
"po_log","estimated_cost","numeric","YES"
"po_log","two_m_buffer_pool","numeric","YES"
"po_log","expense_type","character varying","YES"
"po_log","recommended_vendor","character varying","YES"
"po_log","actioned_by","character varying","YES"
"po_log","submission_status","character varying","YES"
"po_log","latest_ai_status","text","YES"
"po_log","vendor_dd_status","character varying","YES"
"po_log","vendor_risk_notes","text","YES"
"po_log","quotes_provided","integer","YES"
"po_log","attach_quotes","text","YES"
"po_log","dispatched_email_log","text","YES"
"po_log","conflict_of_interest","character varying","YES"
"po_log","conflict_details","text","YES"
"po_log","po_date","date","YES"
"po_log","is_budgeted","character varying","YES"
"po_log","gl_code","character varying","YES"
"po_log","system_status","text","YES"
"po_log","created_at","timestamp without time zone","YES"
"po_log","quote_filepath","character varying","YES"
"po_log","chair_requested_at","timestamp with time zone","YES"
"po_log","chair_escalated","boolean","YES"
"po_log_with_status","id","integer","YES"
"po_log_with_status","po_number","character varying","YES"
"po_log_with_status","date","date","YES"
"po_log_with_status","actioned_date","date","YES"
"po_log_with_status","gl_code_id","integer","YES"
"po_log_with_status","project_id","integer","YES"
"po_log_with_status","has_been_budgeted","boolean","YES"
"po_log_with_status","description","text","YES"
"po_log_with_status","justification_notes","text","YES"
"po_log_with_status","approval_notes","text","YES"
"po_log_with_status","ai_recommendation_summary","text","YES"
"po_log_with_status","estimated_cost","numeric","YES"
"po_log_with_status","two_m_buffer_pool","numeric","YES"
"po_log_with_status","expense_type","character varying","YES"
"po_log_with_status","recommended_vendor","character varying","YES"
"po_log_with_status","actioned_by","character varying","YES"
"po_log_with_status","submission_status","character varying","YES"
"po_log_with_status","latest_ai_status","text","YES"
"po_log_with_status","vendor_dd_status","character varying","YES"
"po_log_with_status","vendor_risk_notes","text","YES"
"po_log_with_status","quotes_provided","integer","YES"
"po_log_with_status","attach_quotes","text","YES"
"po_log_with_status","dispatched_email_log","text","YES"
"po_log_with_status","conflict_of_interest","character varying","YES"
"po_log_with_status","conflict_details","text","YES"
"po_log_with_status","total_annual_budget","numeric","YES"
"po_log_with_status","ytd_actual","numeric","YES"
"po_log_with_status","procurement_matrix_summary_chart","text","YES"
"po_log_with_status","matched_matrix_id","integer","YES"
"po_log_with_status","matrix_category","character varying","YES"
"po_log_with_status","approver_roles","character varying","YES"
"po_log_with_status","reviewer_roles","character varying","YES"
"po_log_with_status","applicable_controls","character varying","YES"
"po_log_with_status","compliance_audit_requirement","text","YES"
"po_log_with_status","min_value","numeric","YES"
"po_log_with_status","max_value","numeric","YES"
"po_log_with_status","dynamic_min_quotes","integer","YES"
"po_log_with_status","system_status","text","YES"
"procurement_options","id","integer","NO"
"procurement_options","project_id","integer","YES"
"procurement_options","vendor_name","character varying","NO"
"procurement_options","vendor_solution","character varying","YES"
"procurement_options","projected_5yr_total","numeric","YES"
"procurement_options","lowest_bid_lookup","numeric","YES"
"procurement_options","price_score","numeric","YES"
"procurement_options","total_non_pricing_score","numeric","YES"
"procurement_options","final_weighted_score_output","numeric","YES"
"procurement_options","public_dd_status","character varying","YES"
"procurement_options","public_search_findings","text","YES"
"procurement_options","quote_file_bytes","bytea","YES"
"procurement_options","quote_filename","character varying","YES"
"procurement_options","total_quantity","numeric","YES"
"procurement_options","unit_of_measure","character varying","YES"
"procurement_options","total_effective_rate","numeric","YES"
"procurement_options","projected_5yr_cost","numeric","YES"
"procurement_options_evaluated","procurement_option_id","integer","YES"
"procurement_options_evaluated","project_reference","text","YES"
"procurement_options_evaluated","vendor_name","character varying","YES"
"procurement_options_evaluated","projected_5yr_total","numeric","YES"
"procurement_options_evaluated","price_weighting","numeric","YES"
"procurement_options_evaluated","lowest_project_bid_floor","numeric","YES"
"procurement_options_evaluated","calculated_price_score","numeric","YES"
"procurement_options_evaluated","calculated_non_pricing_score","numeric","YES"
"procurement_options_evaluated","calculated_final_score","numeric","YES"
"project_weightings","id","integer","NO"
"project_weightings","project_id","integer","YES"
"project_weightings","criteria_name","character varying","NO"
"project_weightings","weight_percent","numeric","NO"
"projects","id","integer","NO"
"projects","project_reference","character varying","NO"
"projects","name","character varying","NO"
"projects","price_weighting","numeric","YES"
"projects","lowest_project_bid_floor","numeric","YES"
"projects","total_authorised_project_budget","numeric","YES"
"projects","cumulative_total_committed","numeric","YES"
"projects","recalculate_matrix","boolean","YES"
"projects","executive_sourcing_recommendation","text","YES"
"projects","procurement_matrix_summary_chart","text","YES"
"projects","project_description","text","YES"
"projects","project_objective","text","YES"
"projects","analysis","text","YES"
"projects","latest_ai_status","text","YES"
"projects","draft_matrix_via_ai","character varying","YES"
"projects","final_authorised_vendor","character varying","YES"
"projects","gl_code","character varying","YES"
"projects","gl_title","character varying","YES"
"projects","gl_sub","character varying","YES"
"projects","ai_prompt_adjustments","text","YES"
"projects","project_scopes","jsonb","YES"
"projects","phase1_prompt_adjustments","text","YES"
"system_prompts","id","integer","NO"
"system_prompts","process","character varying","NO"
"system_prompts","prompt_key","character varying","NO"
"system_prompts","prompt_template","text","NO"
"system_prompts","description","text","YES"
"system_prompts","updated_at","timestamp without time zone","YES"
"system_prompts","is_active","boolean","YES"
"system_prompts","selected_model","character varying","YES"
"units_of_measure","id","integer","NO"
"units_of_measure","unit_code","character varying","NO"
"units_of_measure","unit_name","character varying","NO"
"vw_cashbook_compliance_audit","cashbook_id","integer","YES"
"vw_cashbook_compliance_audit","transaction_date","date","YES"
"vw_cashbook_compliance_audit","transaction_text","text","YES"
"vw_cashbook_compliance_audit","amount","numeric","YES"
"vw_cashbook_compliance_audit","gl_code","character varying","YES"
"vw_cashbook_compliance_audit","supplier_code","character varying","YES"
"vw_cashbook_compliance_audit","authority_tier","text","YES"
"vw_cashbook_compliance_audit","min_quotes_required","integer","YES"
"vw_cashbook_compliance_audit","po_number","character varying","YES"
"vw_cashbook_compliance_audit","po_approval_status","character varying","YES"
"vw_cashbook_compliance_audit","quotes_attached","integer","YES"
"vw_cashbook_compliance_audit","recommended_vendor","character varying","YES"
"vw_cashbook_compliance_audit","compliance_verdict","text","YES"
"workflow_control_log","id","integer","NO"
"workflow_control_log","timestamp","timestamp without time zone","YES"
"workflow_control_log","po_number","character varying","YES"
"workflow_control_log","action_type","character varying","YES"
"workflow_control_log","actor_operator","character varying","YES"
"workflow_control_log","system_notes","text","YES"
"workflow_control_log","actor_email","character varying","YES"
